net_assets,ytd_return,fund_yield,net_annual_expense_ratio_fund,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,fund_return_2017,fund_alpha_3years,fund_alpha_5years,fund_alpha_10years,fund_beta_3years,fund_beta_5years,fund_beta_10years,fund_mean_annual_return_3years,fund_mean_annual_return_5years,fund_mean_annual_return_10years,fund_r_squared_3years,fund_r_squared_5years,fund_r_squared_10years,fund_standard_deviation_3years,fund_standard_deviation_5years,fund_standard_deviation_10years,fund_sharpe_ratio_3years,fund_sharpe_ratio_5years,fund_sharpe_ratio_10years,fund_treynor_ratio_5years,fund_treynor_ratio_10years
99870000,33.21,1.82,0.95,47.34,0,18.28,1.61,1.03,5.48,0.09,0,0,0,0,0,0.61,0,99.01,0,0.28,0,0,0,0,0,0,0,0,0,33.58,0,4.3,0,33.58,0,-7.62,0,1.73,0,-14.07,0,4.71,0,-40.04,-7.25,-19.2,-31.13,-24.26,2.26,2.28,2.39,0.77,-0.59,1.04,38.85,40.38,57.63,38.97,40.18,39.9,0.2,-0.2,0.3,-6.52,1.74
278920000,11.45,3.18,0.58,99.88,0,13.47,1.34,0.8,6.08,10.59,13.14,18.65,6.63,7.84,3.8,9.43,3.64,1.69,18.73,5.86,0,0,0,0,0,0,0,0,0,9.78,5.04,-0.08,-0.84,9.78,1.25,-6.84,3.93,6.63,1.41,3.53,6.95,10.38,3.48,-15.07,28.08,-1.41,1.05,1.67,1,0.96,0.98,0.58,0.35,0.93,92.01,93.72,95.3,11.06,11.91,15.77,0.51,0.28,0.68,2.87,10.22
110820000,24.21,0.35,0.75,98.28,0,12.69,1.65,1.84,4.53,4.26,15.26,25.54,0,12.31,1.96,0,0,5.2,24.93,10.55,0,0,0,0,0,0,0,0,0,18.79,4.11,0.06,1.28,18.79,5.62,-8.48,8.19,0,0.78,0,7.15,0,1.76,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447110000,6.92,6.77,0.45,99.65,0,13.47,1.28,1.17,5.78,3.64,17,0,22.35,14.44,0,12.66,4.23,13.82,11.86,0,0,0,0,0,0,0,0,0,0,7.53,12.78,-0.79,0.05,7.53,4.11,5.9,15.53,5.04,10.34,3.96,17.24,0,7.35,-6.67,9.72,-2.55,-2.6,0,0.54,0.6,0,0.44,0.36,0,51.74,55.94,0,8.13,9.01,0,0.49,0.39,0,5.34,0
3630000,4.89,4.56,0.75,67.22,0,13.95,1.72,1,6.6,1.1,14.68,10.03,14.04,10.18,1.76,17.96,2.66,21.31,3.16,3.12,0,0,0,0,0,0,0,0,0,5.09,3.28,0.83,0.21,5.09,3.13,7.61,4.94,5.09,2.32,0,3.53,0,0,-0.07,-0.22,-0.1,0,0,0.35,0,0,0.45,0,0,35.04,0,0,6.27,0,0,0.64,0,0,0,0
6660000,16.91,2.18,0.25,99.76,0,13.92,2.52,1.64,7.44,1.82,10.65,20.71,1.45,8.87,13.07,1.12,4.1,5.26,10.5,22.44,0,0,0,0,0,0,0,0,0,13.33,0,0.96,0,13.33,0,8.22,0,0,0,0,0,0,0,-6.46,,,,,,,,,,,,,,,,,,,,,
136000000,15.98,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,10.9,-4.61,-0.1,10.55,3.26,-3.82,17.04,10.35,10.53,0,15.36,0,6.55,-12.13,16.4,-2.18,0,0,0.98,0,0,0.9,0,0,55.63,0,0,14.02,0,0,0.68,0,0,0,0
18960000,11.62,5.04,0.49,94.93,0,16.73,3.27,1.63,9.94,3.07,15.08,11.11,0,13.93,17.7,3.54,3.12,8.26,9.43,14.76,0,0,0,0,0,0,0,0,0,10.72,0,1.68,0,10.72,0,10.18,0,0,0,0,0,0,0,-2.48,21.3,,,,,,,,,,,,,,,,,,,,
284570000,,3.41,0.3,98.9,0,12.65,2.07,1.43,13.13,6.76,17.06,48.34,0,12.21,5.75,0,3.05,0,0,6.85,0,0,0,0,0,0,0,0,0,-11.26,0,1.63,0,-7.67,0,-7.15,0,3.05,0,0,0,0,0,,9.21,-0.52,,,0.66,,,0.31,,,31.83,,,13.25,,,-0.24,,,,
70980000,5.47,0.92,0.85,0,42.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.89,0.36,0.4,4.8,1.66,-3.14,3.99,4.94,1.68,0,2.79,0,0,-2.71,4.63,0.21,0,0,0.53,0,0,0.42,0,0,40.12,0,0,5.09,0,0,0.73,0,0,0,0
35910000,6.99,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,8.1,-0.2,3.09,6.32,-3.42,-6.14,-4.15,1.73,-15.94,-9.7,-10.68,0,-7.74,-12.42,1.28,-1.94,-2.43,0,0.76,0.78,0,0.19,-0.78,0,82.42,89.4,0,10.47,12.54,0,0.1,-0.81,0,-13.5,0
